name,address,latitude,longitude,RestaurantsPriceRange2,stars,business_type,region,veggy,GoodForKids,RestaurantsDelivery,WiFi,Alcohol,OutdoorSeating,garage,lot,valet,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,breakfast,brunch,lunch,dinner,dessert,latenight,romantic,intimate,upscale,casual,trendy,classy,RestaurantsReservations,review_count
Pho Lee's Vietnamese Restaurant,"1541 E 38th St, Ste 101",41.5121553,-81.663332,,4.5,other,Vietnamese,other,,TRUE,no,none,FALSE,,,,11:0-20:0,11:0-20:0,,11:0-20:0,11:0-20:0,11:0-20:0,11:0-20:0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,23
Wendy's,4602 Northfield Road,41.434614,-81.5270257,1,3.5,Fast Food,other,other,TRUE,FALSE,,none,FALSE,FALSE,TRUE,FALSE,10:0-3:0,10:0-3:0,10:0-3:0,10:0-3:0,10:0-3:0,10:0-3:0,10:0-3:0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7
Hingetown,,41.48934281,-81.7110287,4,3,Cafes,other,other,TRUE,FALSE,no,none,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4
Dominic's Santos,21467 Lorain Rd,41.4436519,-81.8581755,2,3.5,other,Italian,other,TRUE,FALSE,no,beer_and_wine,TRUE,FALSE,TRUE,FALSE,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,40
Fratello's Deli,"1111 Superior Ave E, Ste 2",41.503602,-81.6869213,1,3.5,Delis,other,other,TRUE,TRUE,no,none,FALSE,,,,,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,FALSE,7
Herb 'n Twine,4309 Lorain Ave,41.47927644,-81.71587515,2,4.5,other,other,other,TRUE,FALSE,no,none,FALSE,FALSE,TRUE,FALSE,,11:0-19:0,11:0-19:0,11:0-19:0,11:0-17:0,11:0-17:0,11:0-17:0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,166
Iron City Cafe,4002 Jennings Rd,41.4474028,-81.6882012,1,4.5,Bars,other,other,FALSE,FALSE,no,full_bar,TRUE,FALSE,FALSE,FALSE,11:0-2:30,11:0-2:30,11:0-2:30,11:0-2:30,11:0-2:30,11:0-2:30,11:0-2:30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3
Adam's Place,681 E 200th St,41.587582,-81.53983,1,4,Burgers,other,other,TRUE,FALSE,no,none,FALSE,FALSE,TRUE,FALSE,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,14
Public House,17219 Lorain Ave,41.4499267,-81.8172698,2,3.5,Bars,other,other,,,free,full_bar,FALSE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,28
Lydia's Hungarian Strudel Shop,6230 Stumph Rd,41.3941178,-81.7705452,2,5,Bakeries,other,other,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,3
