name,code
Vietnam,315
Vietnamese,315
vietnam,315
vietnamese,315
Thai,314
Thailand,314
thai,314
thailand,314
Mexican,313
Mexico,313
New Mexico,313
South Europe,313
Southern American,313
Texas,313
mexican,313
mexico,313
new mexico,313
south europe,313
southern american,313
texas,313
Mediterranean,312
Middle east,312
mediterranean,312
middle east,312
Latin American,311
Latino,311
Central America,311
latin american,311
latino,311
central america,311
Korea,310
Korean,310
korea,310
korean,310
Japan,309
Japanese,309
japan,309
japanese,309
Italian,308
Italy,308
italian,308
italy,308
India,307
Indian,307
india,307
indian,307
Greece,306
Greek,306
Aegean,306
greece,306
greek,306
aegean,306
France,305
French,305
france,305
french,305
China,304
Chinese,304
china,304
chinese,304
Caribbean,303
caribbean,303
Asia,302
Asian Fusion,302
asia,302
asian fusion,302
America,301
American,301
North America,301
america,301
american,301
north america,301
best,100
excellent,100
great,100
amazing,100
awesome,100
any,4
whatever,4
not important,4
all kinds,4
all sort,4
doesn't matter,4
don't care,4
big,3
rip-off,3
over priced,3
premium,3
high,3
gourmet,3
fine,3
top,3
upscale,3
upper class,3
expensive,3
pricey,3
prestige,3
esteem,3
status,3
celebrity,3
luxury,3
affluence,3
richness,3
extravagance,3
delight,3
deluxe,3
fancy,3
lavish,3
costly,3
huge,3
a lot,3
lots,3
many,3
much,3
reasonable,2
standard,2
normal,2
acceptable,2
typical,2
usual,2
anything,2
medium,2
mediocre,2
common,2
fair,2
mean,2
so-so,2
average,2
moderate,2
neutral,2
general,2
regular,2
boilerplate,2
good,2
cheap,1
inexpensive,1
simple,1
poor,1
low,1
budget,1
economical,1
saving,1
cost-effective,1
practical,1
prudent,1
thrifty,1
careful,1
cautious,1
casual,1
comfortable,1
little,1
minimal,1
small,1
less,1
competitive,1
bargain,1
cut,1
half,1
dime,1
sale,1
uncostly,1
easy,1
penny,1
modest,1
basic,1
ordinary,1
few,1
bad,1
absolutely,0
actually,0
price,0
priced,0
pricing,0
costing,0
cost,0
amount,0
pay,0
paying,0
payment,0
money,0
spend,0
spending,0
charge,0
charged,0
charges,0
charging,0
rating,0
rated,0
ranking,0
rank,0
ranked,0
stars,0
evaluated,0
class,0
level,0
score,0
ask,0
attentive,0
chicken,0
hello,0
morning,0
table,0
winter,0
blue,0
grow,0
movie,0
expected,0
why,0
experience,0
broom,0
craft,0
journey,0
creation,0
blur,0
sky,0
flower,0
lion,0
study,0
going,0
change,0
moon,0
music,0
expedition,0
summer,0
ocean,0
according,0
theoretical,0
instrumental,0
clarify,0
because,0
Knowledge,0
familiarity,0
awareness,0
understanding,0
someone ,0
skills,0
account,0
acquired,0
different,0
sources,0
limited,0
philosophy,0
approach,0
Ludwig,0
James,0
believe,0
argue,0
mental,0
state,0
speak,0
engaged,0
task,0
family,0
restaurant,0
friend,0
food,0
place,0
back,0
get,0
one,0
order,0
really,0
come,0
always,0
meal,0
night,0
first,0
eat,0
dine,0
side,0
ever,0
never,0
breakfast,0
lunch,0
brunch,0
dinner,0
two,0
minutes,0
said,0
right,0
area,0
know,0
salad,0
way,0
small,0
want,0
around,0
say,0
sure,0
think,0
atmosphere,0
Cleveland,0
make,0
another,0
asked,0
away,0
bowl,0
check,0
coming,0
dish,0
enough,0
everything,0
feel,0
find,0
full,0
give,0
husband,0
inside,0
kind,0
last,0
left,0
looking,0
new,0
next,0
open,0
options,0
outside,0
parking,0
places,0
restaurants,0
see,0
select,0
since,0
something,0
spot,0
steak,0
tables,0
take,0
tasted,0
thing,0
things,0
told,0
top,0
visit,0
work,0
bar,0
better,0
bit,0
busy,0
came,0
cool,0
decide,0
definitely,0
delicious,0
dining,0
dishes,0
drink,0
drinks,0
enjoy,0
even,0
fantastic,0
fast,0
quick,0
favorite,0
flavor,0
fresh,0
friendly,0
fun,0
happy,0
home,0
hot,0
Im,0
items,0
Ive,0
like,0
love,0
manager,0
nasty,0
need,0
nice,0
perfect,0
pretty,0
quality,0
recommend,0
room,0
seated,0
served,0
Service,0
slow,0
soup,0
special,0
spicy,0
still,0
stop,0
stuff,0
super,0
taste,0
tasty,0
thought,0
took,0
town,0
tried,0
try,0
waiter,0
well,0
went,0
wonderful,0
years,0
